identifier	mzs	intensities	smiles	formula	adduct	collision_energy	parent_mass
1	411.01088,429.02145	24.07,100.0	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M+H]+	10	428.334
2	352.14444,397.20229	17.73,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M+H]+	10	396.494
3	165.0214,195.03197,337.01823,419.97451,489.03236	14.66,23.96,20.94,20.22,100.0	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M+H]+	10	489.757
4	258.10372,452.03781	24.82,100.0	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M+H]+	10	451.243
5	91.05423,149.05971,193.0527,235.06327,341.10513	26.43,18.61,50.69,19.09,100.0	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M+H]+	10	340.81
6	239.08333,265.0626,269.0939,402.1386,406.09713,416.11786,418.13351,442.13351,448.14408,460.14408,464.17538,474.15973,492.17029	2.46,1.99,2.53,2.09,3.67,3.86,9.29,2.8,3.52,23.0,16.46,12.4,100.0	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M+H]+	10	492.443
7	86.9996,100.07569,114.09134,116.10699,124.07569,128.10699,170.0731,202.09932	38.27,4.48,10.43,16.5,4.9,15.6,5.09,100.0	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M+H]+	10	201.697
8	182.944,284.0393	45.64,100.0	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M+H]+	10	284.157
9	171.08765,238.09347	38.14,100.0	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M+H]+	10	237.219
10	194.02703,212.03759	2.54,100.0	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M+H]+	10	211.242
11	411.01088,429.02145	6.58,100.0	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M+H]+	20	428.334
12	340.14444,352.14444,395.18664,397.20229	19.63,39.85,18.94,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M+H]+	20	396.494
13	68.04948,96.04439,195.03197,210.93892,267.96038,277.98112,307.00767,309.02332,319.00767,337.01823,403.97959,419.97451,471.02179,489.03236	24.51,25.65,47.45,100.0,89.5,92.27,80.62,42.69,31.0,50.1,24.2,75.83,22.69,76.77	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M+H]+	20	489.757
14	194.94137,206.94137,258.10372,452.03781	10.6,23.19,100.0,99.45	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M+H]+	20	451.243
15	91.05423,131.04914,189.0214,191.03705,193.0527,205.0527,207.06835,341.10513	39.72,19.39,13.78,13.73,50.07,100.0,11.78,36.7	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M+H]+	20	340.81
16	102.09134,125.01525,226.09932,247.00758,249.02323,263.03888,317.04945,331.0651,332.06035,333.08075,334.076,361.07566,363.09131,374.07091,389.07058,398.1073,400.12295,402.1386,406.09713,416.11786,418.13351,420.14916,442.13351,444.14916,446.16481,456.14916,460.14408,462.15973,464.17538,474.15973,492.17029	6.03,38.58,7.75,29.9,27.6,14.41,19.35,6.19,53.24,7.84,18.5,7.1,11.32,14.05,6.41,5.87,50.76,100.0,20.89,8.0,66.48,10.19,47.3,29.21,35.81,13.92,52.64,7.05,28.54,36.28,64.22	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M+H]+	20	492.443
17	51.02293,55.05423,72.08078,84.08078,86.06004,86.9996,98.06004,98.09643,100.07569,102.0105,102.09134,110.06004,112.07569,114.09134,116.02615,116.10699,124.07569,126.09134,128.10699,130.0418,158.0731,172.08875,202.09932	9.31,7.21,7.91,9.63,8.57,29.24,7.55,13.08,30.61,13.74,21.19,9.17,12.96,11.26,19.73,38.56,8.64,27.27,77.84,9.35,28.85,13.63,100.0	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M+H]+	20	201.697
18	70.06513,85.07602,182.944,196.97089,212.9658,238.98145	7.86,14.51,100.0,9.36,13.37,18.22	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M+H]+	20	284.157
19	40.01818,153.07709,154.0611,155.05635,169.072,171.08765,181.072,210.09855,236.07782,238.09347	4.17,9.63,5.61,6.28,9.13,71.37,5.73,6.05,4.65,100.0	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M+H]+	20	237.219
20	84.04439,156.01138,166.03211,168.04776,194.02703,212.03759	6.29,7.67,13.01,13.58,68.42,100.0	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M+H]+	20	211.242
21	45.0135,174.98597,227.03144,239.04784,255.04275,270.98711,314.99334,339.0439,351.0439,365.05955,385.01522,429.02145	14.42,17.24,37.03,28.26,74.42,15.93,100.0,46.97,14.69,11.36,22.27,14.51	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M+H]+	40	428.334
22	58.06513,91.05423,104.04948,105.06988,118.06513,148.11208,160.05054,162.06619,179.08553,192.08078,193.10118,194.09643,222.10257,235.08659,237.10224,248.08184,250.09749,260.08184,262.09749,305.13969,336.11314,338.12879,339.18558,352.14444,393.17099,395.18664,397.20229	12.6,48.97,33.64,43.61,11.29,22.65,100.0,24.23,11.37,26.6,35.31,18.58,12.2,22.4,10.07,15.6,26.43,11.6,22.16,10.23,14.96,9.7,14.9,60.12,8.98,15.85,25.41	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M+H]+	40	396.494
23	55.05423,68.04948,96.04439,113.01525,119.06037,128.02615,141.0214,153.0214,159.05529,161.07094,163.00575,165.0214,167.03705,177.0214,179.03705,182.944,184.95965,193.01632,195.03197,210.93892,212.95457,214.97022,237.94982,253.98112,267.96038,277.98112,419.97451,444.96976,449.00106,463.01671,489.03236	6.95,28.16,8.84,12.55,7.44,8.54,16.05,28.23,27.89,14.42,10.45,42.31,29.68,11.03,18.61,100.0,20.66,6.73,20.27,61.77,18.0,8.01,10.03,10.94,8.92,40.2,13.08,10.3,22.32,13.75,17.35	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M+H]+	40	489.757
24	57.04472,81.04472,83.06037,95.02915,150.90392,152.91957,154.93522,165.91482,167.93047,177.91482,179.93047,183.96177,189.08225,192.92572,193.94612,194.94137,201.08225,206.94137,208.95702,216.09315,218.1088,244.08807,271.09897,273.11462,283.09897,300.12551,409.99086,412.00651,424.00651,425.02691,426.02216	9.38,6.11,7.99,5.5,7.17,6.91,3.94,5.56,23.1,100.0,8.41,6.05,4.56,17.56,8.34,35.2,11.22,26.34,11.93,8.84,26.39,9.83,7.13,7.5,4.54,4.3,13.26,5.71,7.42,7.57,12.02	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M+H]+	40	451.243
25	91.05423,107.04914,126.0105,131.04914,133.06479,157.07602,171.09167,176.02615,178.0418,179.03705,189.0214,191.03705,193.0527,205.0527,207.06835,291.08948,325.07383,341.10513	100.0,26.4,12.43,8.48,6.37,52.68,21.04,13.89,5.87,12.31,19.7,48.05,27.52,40.13,8.46,5.86,5.69,7.5	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M+H]+	40	340.81
26	56.04948,119.0622,125.01525,129.04655,168.02107,227.0622,239.08333,247.00758,249.02323,261.02323,263.03888,276.03413,330.0447,332.06035,334.076,346.076,359.06001,361.07566,363.09131,364.12295,374.07091,390.06583,402.1386,406.09713,420.14916,442.17796,462.12334,464.17538,476.13899,490.15464,492.17029	4.3,4.25,100.0,3.95,9.25,9.32,8.15,40.92,16.47,3.88,9.22,4.63,10.87,27.13,22.48,4.96,8.17,5.56,4.54,4.11,8.21,4.13,7.21,6.24,3.89,5.28,5.99,6.66,4.38,4.39,9.33	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M+H]+	40	492.443
27	39.02293,43.05423,44.04948,51.02293,55.05423,56.04948,60.98395,66.03383,70.06513,72.08078,78.03383,80.04948,82.06513,84.08078,86.06004,86.9996,89.01525,94.06513,100.07569,102.0105,106.06513,108.08078,110.06004,114.0105,114.09134,116.02615,122.09643,124.07569,138.09134,158.0731,174.06802	16.69,12.86,36.47,37.42,100.0,19.54,18.64,31.62,33.07,48.34,33.27,64.65,18.53,30.44,39.14,86.11,12.79,33.97,21.34,24.76,12.78,29.0,17.43,35.52,26.17,32.44,40.98,19.49,13.01,24.23,21.04	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M+H]+	40	201.697
28	42.03383,44.04948,56.04948,70.06513,72.08078,86.07127,156.96474,180.11314,182.944,258.02365	4.56,7.64,13.3,16.32,39.99,13.1,9.13,6.34,100.0,6.39	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M+H]+	40	284.157
29	40.01818,42.03383,57.04472,59.06037,61.07602,69.04472,72.04439,81.04472,85.03964,86.07127,87.05529,89.07094,95.02399,97.03964,99.05529,110.03489,112.05054,114.06619,116.08184,124.05054,151.06144,153.07709,154.0611,155.05635,169.072,171.08765	44.86,31.29,100.0,53.73,14.69,31.59,20.13,22.02,49.73,95.18,32.43,10.56,38.76,52.97,84.51,15.28,54.49,38.15,14.76,30.64,13.77,24.62,50.43,37.22,47.67,35.76	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M+H]+	40	237.219
30	41.03858,44.97935,56.97935,58.995,68.97935,70.995,82.06513,85.01065,96.04439,98.06004,100.02155,108.04439,110.0059,110.98991,112.02155,113.00556,114.0372,117.00048,122.06004,124.02155,124.07569,126.00081,138.0372,140.05285,166.03211,169.99064,170.02703,172.00629	29.43,12.51,13.53,16.91,13.33,10.57,8.61,8.0,28.12,13.12,11.42,8.31,18.02,22.78,21.59,18.39,8.79,8.06,100.0,16.3,65.69,23.21,61.98,18.48,8.69,13.4,11.76,17.67	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M+H]+	40	211.242
31	363.04499,427.00689	100.0,59.86	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M-H]-	10	428.334
32	352.14554,395.18773	0.71,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M-H]-	10	396.494
33	94.02984,151.00685,177.0225,292.99311,407.09164,487.0178	6.83,56.54,6.56,12.96,11.71,100.0	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M-H]-	10	489.757
34	242.07351,271.10006,450.02326	35.89,9.75,100.0	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M-H]-	10	451.243
35	205.0538,231.03306,339.09058	100.0,33.68,37.25	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M-H]-	10	340.81
36	34.9694,372.05636,414.10331,440.11896,458.12952,462.16082,490.15574	12.48,13.78,13.96,20.06,99.44,12.57,100.0	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M-H]-	10	492.443
37	34.9694,84.04549,114.09244	100.0,88.16,70.82	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M-H]-	10	201.697
38	236.9669,282.02475	11.8,100.0	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M-H]-	10	284.157
39	169.0731,236.07891	3.34,100.0	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M-H]-	10	237.219
40	166.03321,210.02304	100.0,39.38	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M-H]-	10	211.242
41	363.04499,427.00689	25.48,100.0	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M-H]-	20	428.334
42	262.09859,352.14554,393.17208,395.18773	3.06,11.08,5.27,100.0	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M-H]-	20	396.494
43	34.9694,41.00329,41.99854,43.01894,78.91889,94.02984,151.00685,163.00685,165.0225,175.00685,177.0225,191.00176,193.01741,195.03306,213.06695,247.97165,249.9873,290.97746,292.99311,328.95673,432.97085,436.98102,457.00724,485.00215,487.0178	26.49,21.98,13.17,23.46,100.0,15.46,81.64,11.97,41.98,28.87,94.79,13.13,41.87,12.05,9.05,10.46,12.54,24.05,56.01,8.68,14.21,8.71,21.89,8.7,67.42	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M-H]-	20	489.757
44	126.90502,189.08335,192.92682,216.09425,271.10006,450.02326	100.0,6.75,9.14,58.74,6.64,9.84	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M-H]-	20	451.243
45	41.00329,77.03967,107.05024,189.0225,191.03815,197.07204,199.08769,205.0538,231.03306	21.78,35.16,26.62,16.12,81.77,46.92,25.19,100.0,17.62	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M-H]-	20	340.81
46	34.9694,372.09274,374.10839,400.12404,412.08766,414.10331,416.11896,418.13461,426.10331,440.11896,458.12952	10.63,10.01,11.6,5.73,10.25,100.0,37.54,5.1,4.25,10.32,23.9	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M-H]-	20	492.443
47	34.9694,84.04549,110.06114,112.07679,114.09244,136.07679,164.10809,200.08477	100.0,4.8,5.44,17.84,11.39,4.21,11.91,10.55	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M-H]-	20	201.697
48	40.01927,41.99854,78.91889,154.95019,197.956,210.95125	73.79,37.41,38.6,100.0,80.55,53.9	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M-H]-	20	284.157
49	55.03017,56.01419,83.02509,95.02509,112.05164,150.0309,151.06253,152.04655,153.0418,167.05745,169.0731,179.05745,195.05236,234.06326,236.07891	7.34,5.91,8.21,7.0,6.1,14.09,7.97,8.95,22.3,12.78,100.0,7.58,72.13,18.53,60.0	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M-H]-	20	237.219
50	68.98044,82.02984,82.99609,106.02984,132.04549,138.03829,140.01756,164.01756,166.03321,176.03532,210.02304	27.19,8.71,43.44,15.91,8.14,10.39,15.48,23.64,100.0,8.2,14.45	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M-H]-	20	211.242
51	88.97027,113.02083,319.03877,337.02934,361.02934,363.04499,383.00067,427.00689	84.61,58.25,40.07,32.65,37.96,100.0,55.5,26.64	O=S(O)c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2	C19H9F5O4S	[M-H]-	40	428.334
52	41.99854,44.05057,91.05532,118.06622,157.04074,158.03599,160.05164,184.05164,233.07204,235.08769,237.10334,248.08294,258.06729,260.08294,274.09859,280.11317,286.09859,295.12407,301.10948,322.09859,334.09859,336.11424,338.12989,339.18667,350.12989,352.14554,367.15643,369.17208,379.15643,395.18773	31.63,12.28,35.44,24.41,43.49,22.48,11.48,13.05,100.0,69.97,9.61,25.51,35.61,83.67,32.23,11.48,18.27,9.39,11.93,13.63,10.05,26.61,81.64,17.53,15.72,10.27,9.6,20.62,23.52,20.57	CN(C)Cc1cccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccccc2)c1	C25H24N4O	[M-H]-	40	396.494
53	34.9694,41.99854,66.03492,68.05057,78.91889,91.03017,111.99595,126.0116,139.00685,151.00685,177.0225,191.00176,240.96181,242.97746,252.96181,277.98221,282.97238,290.97746,292.99311,328.95673,357.98328,383.09164,401.02548,416.97594,430.9552,442.99159,444.97085,456.97085,469.00724,470.9865,485.00215	31.64,30.83,7.28,7.54,58.06,24.11,4.31,7.37,26.92,100.0,10.01,6.54,8.35,5.85,3.56,8.22,3.92,4.87,14.91,4.74,3.86,5.23,5.07,7.6,8.62,5.85,28.48,7.64,3.79,8.72,19.64	O=C(N[C@@H](CO)c1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)N2CC=CC2)c(Br)c1	C21H18BrClN4O3	[M-H]-	40	489.757
54	82.00985,110.04115,126.90502,189.08335,192.92682,206.94247,338.97483,380.00138,423.01236,448.00761	9.92,100.0,59.28,13.35,18.03,7.07,16.09,16.39,5.85,75.1	O=C(Cn1cc(I)cn1)N1CCCc2c1cnn2-c1ccc(F)cc1	C17H15FIN5O	[M-H]-	40	451.243
55	34.9694,41.00329,77.03967,91.01894,107.05024,118.06622,136.9912,150.0116,174.0116,189.0225,191.03815,205.0538,313.07493	12.09,4.65,100.0,4.43,4.18,3.7,5.05,5.1,4.22,11.92,19.87,4.76,3.74	Cc1ccc(-c2ccnc(Cl)c2)n1CC(=O)OCc1ccccc1	C19H17ClN2O2	[M-H]-	40	340.81
56	34.9694,41.00329,41.99854,55.01894,67.05532,69.03459,98.06114,100.07679,111.0007,125.01635,207.05822,226.14487,266.05894,306.12663,330.04579,332.06144,334.07709,336.09274,346.07709,348.09274,372.09274,386.10839,400.12404,412.12404,414.13969,418.13461,442.13461,472.14517,474.12444,488.14009,490.15574	100.0,56.9,10.27,2.73,2.42,3.52,4.81,5.52,9.18,9.82,3.48,2.61,2.41,2.75,6.79,5.69,6.64,3.92,3.42,3.39,4.26,3.89,8.7,3.05,11.6,4.15,2.42,3.11,2.92,7.85,3.32	CC[C@@H]([C@H](C)O)N1C(=O)[C@@](C)(CC(=O)OC)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	C26H31Cl2NO4	[M-H]-	40	492.443
57	34.9694,40.01927,41.00329,42.03492,43.01894,53.99854,56.01419,56.05057,58.02984,66.03492,72.98505,80.05057,82.06622,84.04549,86.06114,94.06622,96.08187,98.06114,108.04549,110.06114,112.07679,114.09244,122.06114,124.07679,126.09244,130.0429,142.00652,142.0429,168.05855,170.0742,182.0742	100.0,7.26,18.74,16.72,16.37,7.57,7.23,7.86,36.73,13.72,12.61,8.39,6.67,33.89,10.1,7.77,10.54,13.12,13.81,11.69,6.21,12.88,6.49,10.72,5.12,6.22,9.29,5.37,6.54,10.81,5.11	CC[C@@H]1COCCN1CC#CCCl	C10H16ClNO	[M-H]-	40	201.697
58	41.99854,55.03017,70.06622,78.91889,152.08294,154.95019,197.956,210.95125	81.71,9.97,6.11,100.0,5.69,32.52,7.39,9.54	CC(=NNC(=O)c1ccc(Br)cc1)N(C)C	C11H14BrN3O	[M-H]-	40	284.157
59	55.03017,56.01419,57.04582,58.02984,65.99854,68.01419,81.00944,83.02509,85.04074,95.02509,110.03599,112.05164,122.03599,124.05164,150.0309,151.06253,152.04655,153.0418,153.07818,167.05745,169.0731,179.05745,219.05236,234.06326	27.87,54.22,26.64,40.33,100.0,26.62,27.3,65.44,17.19,48.67,70.71,78.57,31.84,32.49,23.39,24.37,29.94,38.51,18.65,19.69,54.03,16.91,15.63,32.38	Cn1c(N)c(NC(=O)CC#N)c(=O)n(C)c1=O	C9H11N5O3	[M-H]-	40	237.219
60	41.00329,56.98044,57.97569,68.98044,82.99609,98.00699,106.02984,110.00699,123.98626,124.02264,126.00191,138.03829,140.01756	4.74,9.7,13.68,12.8,100.0,6.59,10.52,6.17,4.44,12.04,10.32,8.02,4.7	O=C(O)c1ccc(N2CCCC2=O)s1	C9H9NO3S	[M-H]-	40	211.242
